cell_id,model,benchmark,task_id,replicate_id,unit_id,observation_class,method,operator,deployment_mode,estimand,success,outcome_source,observations,scheduled_actions,action_rate,acted_on_task,applied_interventions,task_tokens,observer_tokens,total_tokens,latency_ms,actual_cost_usd,reported_cost_usd,estimated_cost_usd,upper_bound_cost_usd,failed_retry_attempts
2bbb7c4b3914a4f23c9b490d,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-967::t7,0,extracted-gsm8k-test-967::t7/r0,baseline,turn_clock,none,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,4124,0,4124,16614,0.002064,0.0,0.002064,0.0,0
a3efea99490a1e1e8b06d3fa,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-916::t7,0,extracted-gsm8k-test-916::t7/r0,baseline,turn_clock,lossy_compaction,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,4229,0,4229,18757,0.002075,0.0,0.002075,0.0,0
d0a2f2dc2867887aa931a75b,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-907::t7,0,extracted-gsm8k-test-907::t7/r0,passive-behavioral,frozen_probe:recompute,none,two_pass_frozen,yoked_anchor,False,canonical_regrade,6,1,0.16666666666666666,1,1,2903,0,2903,16104,0.001399,0.0,0.001399,0.0,0
f47b6be4363ae1080df6c796,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-861::t7,0,extracted-gsm8k-test-861::t7/r0,active,active_recompute,public_state_reground,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,5467,4722,10189,25732,0.003819,0.0,0.003819,0.0,0
d09a765f37ca598a03e4af2a,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-797::t7,0,extracted-gsm8k-test-797::t7/r0,active,active_recompute,none,two_pass_frozen,yoked_anchor,False,canonical_regrade,6,1,0.16666666666666666,1,1,4597,4204,8801,24575,0.003099,0.0,0.003099,0.0,0
52e387ee0f72945d36102f0f,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-1147::t7,0,extracted-gsm8k-test-1147::t7/r0,passive-behavioral,frozen_probe:recompute,public_state_reground,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,4742,0,4742,19464,0.002335,0.0,0.002335,0.0,0
6d2f30538dbccbf43936077c,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-991::t7,0,extracted-gsm8k-test-991::t7/r0,active,active_recompute,none,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,5446,4524,9970,28942,0.003883,0.0,0.003883,0.0,0
4f4d20a9c7a3c23324ffc565,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-920::t7,0,extracted-gsm8k-test-920::t7/r0,active,active_recompute,none,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,7095,6148,13243,27009,0.003799,0.0,0.003799,0.0,0
feacf31fd9b9ccaef85cc0f5,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-966::t7,0,extracted-gsm8k-test-966::t7/r0,baseline,turn_clock,lossy_compaction,two_pass_frozen,yoked_anchor,False,canonical_regrade,6,1,0.16666666666666666,1,1,4405,0,4405,22049,0.002461,0.0,0.002461,0.0,0
2e8a1032901e6e098cf9d371,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-1125::t7,0,extracted-gsm8k-test-1125::t7/r0,baseline,turn_clock,public_state_reground,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,3922,0,3922,24660,0.002019,0.0,0.002019,0.0,0
f234f93a5d8470bcd59d6ed2,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-893::t7,0,extracted-gsm8k-test-893::t7/r0,baseline,turn_clock,lossy_compaction,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,4532,0,4532,22564,0.002543,0.0,0.002543,0.0,0
cec2793a3dcfd8d4c429ed76,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-982::t7,0,extracted-gsm8k-test-982::t7/r0,active,active_recompute,public_state_reground,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,4519,4106,8625,32032,0.003598,0.0,0.003598,0.0,0
1dd93dd97d3f25ab8c5837ec,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-806::t7,0,extracted-gsm8k-test-806::t7/r0,passive-behavioral,frozen_probe:recompute,public_state_reground,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,4570,0,4570,16932,0.002396,0.0,0.002396,0.0,0
31ca2c8da356344beb61e7dd,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-832::t7,0,extracted-gsm8k-test-832::t7/r0,active,active_recompute,public_state_reground,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,5053,4492,9545,34917,0.003869,0.0,0.003869,0.0,0
3d37ce8fee1ae599be48be00,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-807::t7,0,extracted-gsm8k-test-807::t7/r0,baseline,context_use,lossy_compaction,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,4788,0,4788,19186,0.002541,0.0,0.002541,0.0,0
ff1693da43380856115a9dcf,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-1120::t7,0,extracted-gsm8k-test-1120::t7/r0,baseline,context_use,lossy_compaction,two_pass_frozen,yoked_anchor,False,canonical_regrade,6,1,0.16666666666666666,1,1,4463,0,4463,15912,0.00224,0.0,0.00224,0.0,0
ebe166cf271c24307f5bba77,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-955::t7,0,extracted-gsm8k-test-955::t7/r0,active,active_recompute,none,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,5652,4794,10446,31327,0.003588,0.0,0.003588,0.0,0
526ebebf027a6cfb7307ff1b,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-1123::t7,0,extracted-gsm8k-test-1123::t7/r0,passive-behavioral,frozen_probe:recompute,public_state_reground,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,4311,0,4311,19604,0.002515,0.0,0.002515,0.0,0
40850cdffcee6194136871e5,gpt-5.6-luna,evolving_intent_gsm8k,extracted-gsm8k-test-979::t7,0,extracted-gsm8k-test-979::t7/r0,passive-behavioral,frozen_probe:recompute,lossy_compaction,two_pass_frozen,yoked_anchor,True,canonical_regrade,6,1,0.16666666666666666,1,1,4401,0,4401,19401,0.002103,0.0,0.002103,0.0,0
